ID,Image batch,Image channel,Image height,Image width,Output depth,Output height,Output width,Filter height,Filter width,Padding top,Padding bottom,Padding left,Padding right,Stride height,Stride width,Dilation height,Dilation width,Grouped
885,1,584,28,28,288,14,14,2,2,0,0,0,0,2,2,1,1,1
886,1,1000,14,14,496,7,7,2,2,0,0,0,0,2,2,1,1,1
887,1,3,224,224,144,56,56,4,4,0,0,0,0,4,4,1,1,1
888,1,528,56,56,264,28,28,2,2,0,0,0,0,2,2,1,1,1
889,1,840,28,28,416,14,14,2,2,0,0,0,0,2,2,1,1,1
890,1,1528,14,14,760,7,7,2,2,0,0,0,0,2,2,1,1,1
891,1,3,224,224,72,56,56,4,4,0,0,0,0,4,4,1,1,1
892,1,264,56,56,128,28,28,2,2,0,0,0,0,2,2,1,1,1
893,1,512,28,28,256,14,14,2,2,0,0,0,0,2,2,1,1,1
894,1,760,14,14,376,7,7,2,2,0,0,0,0,2,2,1,1,1
895,1,256,56,56,128,28,28,2,2,0,0,0,0,2,2,1,1,1
896,1,440,28,28,216,14,14,2,2,0,0,0,0,2,2,1,1,1
897,1,744,14,14,368,7,7,2,2,0,0,0,0,2,2,1,1,1
898,1,80,112,112,80,56,56,3,3,1,1,1,1,2,2,1,1,1
899,1,80,56,56,80,56,56,3,3,1,1,1,1,1,1,1,1,1
900,1,232,112,112,232,56,56,3,3,1,1,1,1,2,2,1,1,1
901,1,232,56,56,232,56,56,3,3,1,1,1,1,1,1,1,1,1
902,1,328,192,192,328,96,96,3,3,1,1,1,1,2,2,1,1,1
903,1,328,96,96,328,96,96,3,3,1,1,1,1,1,1,1,1,1
904,1,64,128,128,64,128,128,3,3,1,1,1,1,1,1,1,1,1
905,1,3,224,224,12,112,112,3,3,1,1,1,1,2,2,1,1,1
906,1,48,112,112,48,56,56,3,3,1,1,1,1,2,2,1,1,1
907,1,192,14,14,1280,7,7,3,3,1,1,1,1,2,2,1,1,1
908,1,256,14,14,1280,7,7,3,3,1,1,1,1,2,2,1,1,1
909,1,64,112,112,96,56,56,3,3,1,1,1,1,2,2,1,1,1
910,1,384,14,14,384,14,14,3,3,1,1,1,1,1,1,1,1,1
911,1,384,14,14,1408,7,7,3,3,1,1,1,1,2,2,1,1,1
912,1,256,28,28,256,28,28,3,3,1,1,1,1,1,1,1,1,1
913,1,512,14,14,512,14,14,3,3,1,1,1,1,1,1,1,1,1
914,1,512,14,14,2048,7,7,3,3,1,1,1,1,2,2,1,1,1
915,1,64,112,112,160,56,56,3,3,1,1,1,1,2,2,1,1,1
916,1,160,56,56,160,56,56,3,3,1,1,1,1,1,1,1,1,1
917,1,160,56,56,320,28,28,3,3,1,1,1,1,2,2,1,1,1
918,1,320,28,28,320,28,28,3,3,1,1,1,1,1,1,1,1,1
919,1,320,28,28,640,14,14,3,3,1,1,1,1,2,2,1,1,1
920,1,640,14,14,640,14,14,3,3,1,1,1,1,1,1,1,1,1
921,1,640,14,14,2560,7,7,3,3,1,1,1,1,2,2,1,1,1
922,1,64,112,112,192,56,56,3,3,1,1,1,1,2,2,1,1,1
923,1,384,28,28,384,28,28,3,3,1,1,1,1,1,1,1,1,1
924,1,384,28,28,768,14,14,3,3,1,1,1,1,2,2,1,1,1
925,1,768,14,14,768,14,14,3,3,1,1,1,1,1,1,1,1,1
926,1,768,14,14,2560,7,7,3,3,1,1,1,1,2,2,1,1,1
927,1,3,320,320,64,160,160,3,3,1,1,1,1,2,2,1,1,1
928,1,64,160,160,160,80,80,3,3,1,1,1,1,2,2,1,1,1
929,1,160,80,80,160,80,80,3,3,1,1,1,1,1,1,1,1,1
930,1,160,80,80,320,40,40,3,3,1,1,1,1,2,2,1,1,1
931,1,320,40,40,320,40,40,3,3,1,1,1,1,1,1,1,1,1
932,1,320,40,40,640,20,20,3,3,1,1,1,1,2,2,1,1,1
933,1,640,20,20,640,20,20,3,3,1,1,1,1,1,1,1,1,1
934,1,640,20,20,2560,10,10,3,3,1,1,1,1,2,2,1,1,1
935,1,3,224,224,28,112,112,3,3,1,1,1,1,2,2,1,1,1
936,1,28,112,112,56,56,56,3,3,1,1,1,1,2,2,1,1,1
937,1,40,112,112,80,56,56,3,3,1,1,1,1,2,2,1,1,1
938,1,14,56,56,14,56,56,3,3,1,1,1,1,1,1,1,1,1
939,1,28,56,56,28,28,28,3,3,1,1,1,1,2,2,1,1,1
940,1,28,28,28,28,28,28,3,3,1,1,1,1,1,1,1,1,1
941,1,56,28,28,56,14,14,3,3,1,1,1,1,2,2,1,1,1
942,1,56,14,14,56,14,14,3,3,1,1,1,1,1,1,1,1,1
943,1,112,14,14,112,7,7,3,3,1,1,1,1,2,2,1,1,1
944,1,26,56,56,26,56,56,3,3,1,1,1,1,1,1,1,1,1
945,1,52,56,56,52,28,28,3,3,1,1,1,1,2,2,1,1,1
946,1,52,28,28,52,28,28,3,3,1,1,1,1,1,1,1,1,1
947,1,104,28,28,104,14,14,3,3,1,1,1,1,2,2,1,1,1
948,1,104,14,14,104,14,14,3,3,1,1,1,1,1,1,1,1,1
949,1,208,14,14,208,7,7,3,3,1,1,1,1,2,2,1,1,1
950,1,208,7,7,208,7,7,3,3,1,1,1,1,1,1,1,1,1
951,1,96,56,56,96,28,28,3,3,1,1,1,1,2,2,1,1,1
952,1,192,28,28,192,14,14,3,3,1,1,1,1,2,2,1,1,1
953,1,384,14,14,384,7,7,3,3,1,1,1,1,2,2,1,1,1
954,1,3,224,224,768,28,28,8,8,0,0,0,0,8,8,1,1,1
955,1,64,128,128,128,128,128,3,3,1,1,1,1,1,1,1,1,1
956,1,64,160,160,64,160,160,3,3,1,1,1,1,1,1,1,1,1
957,1,64,160,160,128,160,160,3,3,1,1,1,1,1,1,1,1,1
958,1,3,416,416,64,208,208,3,3,1,1,1,1,2,2,1,1,1
959,1,64,208,208,64,208,208,3,3,1,1,1,1,1,1,1,1,1
960,1,64,208,208,128,208,208,3,3,1,1,1,1,1,1,1,1,1
961,1,3,176,176,24,88,88,3,3,1,1,1,1,2,2,1,1,1
962,1,24,88,88,32,88,88,3,3,1,1,1,1,1,1,1,1,1
963,1,32,88,88,64,88,88,3,3,1,1,1,1,1,1,1,1,1
964,1,64,44,44,64,44,44,3,3,1,1,1,1,1,1,1,1,1
965,1,64,44,44,128,22,22,3,3,1,1,1,1,2,2,1,1,1
966,1,128,22,22,128,22,22,3,3,1,1,1,1,1,1,1,1,1
967,1,128,22,22,256,11,11,3,3,1,1,1,1,2,2,1,1,1
968,1,256,11,11,256,11,11,3,3,1,1,1,1,1,1,1,1,1
