conv_parameters,occurences,models
1 256 16 16 768 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,5,botnet50ts_256 botnet26t_256 sebotnet33ts_256
1 512 16 16 1536 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,2,botnet26t_256 sebotnet33ts_256
1 512 8 8 1536 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,9,botnet26t_256 sehalonet33ts lamhalobotnet50ts_256 halo2botnet50ts_256 botnet50ts_256 sebotnet33ts_256
1 128 32 32 384 32 32 1 1 0 0 0 0 1 1 1 1 1 False False,2,botnet50ts_256 sebotnet33ts_256
1 256 16 16 256 16 16 3 3 1 1 1 1 1 1 1 1 1 False False,440,ecaresnet26t cs3darknet_l resnetrs152 resnet50_mlp seresnet269d seresnet152d resnetrs200 resnet26t cspresnet50 resnet200d resnet101d resnetrs270 lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 cs3darknet_focus_l lambda_resnet50ts resnet152d cspdarknet53 seresnet200d sehalonet33ts halonet50ts cs3sedarknet_l ecaresnet200d botnet50ts_256 sebotnet33ts_256
1 512 16 16 512 8 8 3 3 1 1 1 1 2 2 1 1 1 False False,24,ecaresnet26t cs3darknet_l resnetrs152 seresnet269d seresnet152d resnetrs200 resnet26t cspresnet50 resnet200d resnet101d resnetrs270 lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 cs3darknet_focus_l lambda_resnet50ts resnet152d seresnet200d halonet50ts cs3sedarknet_l ecaresnet200d botnet50ts_256
1 512 8 8 512 8 8 3 3 1 1 1 1 1 1 1 1 1 False False,56,ecaresnet26t cs3darknet_l resnetrs152 resnet50_mlp seresnet269d seresnet152d resnetrs200 resnet26t cspresnet50 resnet200d resnet101d resnetrs270 lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 cs3darknet_focus_l lambda_resnet50ts resnet152d cspdarknet53 seresnet200d halonet50ts cs3sedarknet_l ecaresnet200d botnet50ts_256
1 3 224 224 128 56 56 7 7 2 2 2 2 4 4 1 1 1 False True,2,caformer_b36 convformer_b36
1 128 56 56 256 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,58,seresnext26d_32x4d senet154 wide_resnet101_2 wide_resnet50_2 caformer_b36 skresnext50_32x4d dla60_res2next ecaresnext50t_32x4d dla102x2 convformer_b36 resnext101_32x4d legacy_seresnext101_32x4d legacy_senet154 resnet50s resnext50_32x4d dla102x legacy_seresnext26_32x4d legacy_seresnext50_32x4d resnet101s resnet152s seresnext101_32x4d ecaresnext26t_32x4d seresnext50_32x4d seresnext26t_32x4d resnext50d_32x4d res2next50 dla60x
1 256 56 56 256 56 56 7 7 3 3 3 3 1 1 1 1 256 False False,6,caformer_b36 convformer_b36
1 256 56 56 128 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,109,resnetblur50 skresnet50 senet154 wide_resnet50_2 vit_base_resnet26d_224 resnetv2_101d resnetv2_50 resnetaa50d legacy_seresnext101_32x4d resnet50s resnetv2_50t seresnext101_32x4d resnet101_clip densenetblur121d seresnext26t_32x4d resnext50d_32x4d resnest26d resnet101_clip_gap res2next50 dla60 resnet101 resnest14d densenet169 seresnet101 skresnext50_32x4d resnet50_clip_gap dla102x2 resnet50t tresnet_v2_l dla102x ecaresnet101d resnet26d dla102 ecaresnet50d dla169 dla60_res2net resnest50d resnetblur50d resnetv2_152 resnet152c resnetaa101d seresnetaa50d vit_small_r26_s32_224 resnetv2_50d resnet50 vit_large_r50_s32_224 seresnet50 vit_small_resnet50d_s16_224 dla60_res2next resnet152 convformer_b36 resnet101c resnext101_32x4d legacy_senet154 legacy_seresnext26_32x4d resnet101s resnet152s ecaresnext26t_32x4d seresnext50_32x4d skresnet50d densenet121 vit_small_resnet26d_224 dla60x seresnet152 resnetv2_50d_evos seresnext26d_32x4d seresnet50t resnetv2_50d_frn resnet50_clip resnetv2_50x1_bit resnetaa50 wide_resnet101_2 vit_base_resnet50d_224 resnet200 caformer_b36 vit_base_r26_s32_224 ecaresnext50t_32x4d resnet50c densenet201 resnext50_32x4d resnetblur101d legacy_seresnext50_32x4d resnetv2_152d resnet50d resnet50_gn resnetv2_101 vit_base_r50_s16_224 resnet26 resnetv2_50d_gn ecaresnetlight
1 128 56 56 512 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,21,resnetv2_101x1_bit caformer_b36 dla102x2 coatnet_rmlp_2_rw_224 coatnet_2_224 convformer_b36 resnetv2_152x2_bit coatnet_2_rw_224 maxvit_large_tf_224
1 512 56 56 128 56 56 1 1 0 0 0 0 1 1 1 1 1 False False,17,resnetv2_101x1_bit efficientvit_l3 caformer_b36 coatnet_rmlp_2_rw_224 convformer_b36 resnetv2_152x2_bit coatnet_2_rw_224
1 128 56 56 256 28 28 3 3 1 1 1 1 2 2 1 1 1 False True,16,hrnet_w44 hrnet_w18 mambaout_base_plus_rw mambaout_base_short_rw caformer_b36 hrnet_w48 hrnet_w40 mambaout_base hrnet_w18_small convformer_b36 mambaout_base_tall_rw hrnet_w30 hrnet_w32 hrnet_w18_small_v2 hrnet_w64 mambaout_base_wide_rw
1 256 28 28 512 28 28 1 1 0 0 0 0 1 1 1 1 1 False False,137,resnetv2_50d_evos hgnetv2_b4 resnest50d_4s2x40d seresnext26d_32x4d seresnet50t resnetaa101d seresnetaa50d resnetv2_50d_frn resnest14d resnet50_clip resnetv2_50d hgnetv2_b6 vit_small_resnet26d_224 vit_base_resnet50d_224 wide_resnet101_2 wide_resnet50_2 vit_base_resnet26d_224 resnetv2_101d caformer_b36 vit_small_resnet50d_s16_224 resnest50d_1s4x24d skresnext50_32x4d dla60_res2next ecaresnext50t_32x4d resnet50_clip_gap dla102x2 convformer_b36 res2next50 resnet50t resnetaa50d resnext101_32x4d legacy_seresnext101_32x4d resnext50_32x4d tresnet_v2_l resnetv2_50t dla102x ecaresnet101d legacy_seresnext26_32x4d resnetblur101d legacy_seresnext50_32x4d resnet26d ecaresnet50d resnetv2_152d resnet50d seresnext101_32x4d res2net50d ecaresnext26t_32x4d hgnetv2_b3 hgnetv2_b5 resnet101_clip seresnext50_32x4d skresnet50d resnetv2_50d_gn seresnext26t_32x4d resnest50d resnetblur50d resnext50d_32x4d resnest26d dla60x resnet101_clip_gap res2net101d ecaresnetlight seresnext101d_32x8d
1 512 28 28 512 28 28 7 7 3 3 3 3 1 1 1 1 512 False False,24,caformer_b36 convformer_b36
